# Source SHA-256: 5d789ae2d414bc6bd2676ff7df29955c308b4b8834b9d0192e6e60d8b270f71b
# page|role|play|needs|caution|published source ids
1|Armoured melee anchor and Human leader|Advance before carrying stones; use Rallying Cry to support nearby Humans and threaten favourable sword exchanges.|Eric improves Noble melee, while a healer and mobile collector keep the Baron fighting.|Armour reduces damage, not every direct wound effect. Low energy makes long chases inefficient.|nobles
104|Summoned wound recovery resource|Keep Teacake close enough for a valuable friendly heal, then decide whether resting is better than spending further shared energy.|Jerry brings him in without a casting activation; wounded frontliners turn his recovery into value.|Healing costs Teacake wounds, and regrowing limits his remaining actions. Do not plan him as an independent energetic medic.|pomps
105|Spirit/Noble damage centre with unusual resources|Start him in the troupe when he is the main plan, donate energy before his activation, and spend wounds only where the action earns its risk.|Igor, Nanny or Greymair can supply recovery or resources; Viscount helps feed and protect the King.|He generates no base energy and cannot be reanimated. Spending his wound pool too freely leaves the centrepiece easy to finish.|echo
106|Risen/Soldier ranged support and death-trigger shooter|Hold a protected backfield lane, fire the crossbow at softened targets, and keep the once-per-turn death-trigger shot in mind.|Negroli improves Soldier attacks against wounded enemies; resurrection support returns the shooter when needed.|His damage reduction excludes melee. Do not let a strong fighter engage the crossbowman just to preserve a firing lane.|risen
107|Risen healer, reset engine and Familiar summoner|Use Drain Life when a crippled friendly model is better reset than left inactive, then Reanimate and salve to restore useful resources.|Viktor improves returned allies; Negroli supports Soldier pressure and Flay improves casting reliability.|A deliberate sacrifice drops what the model was carrying and has timing costs. Judge the scoring consequence before recycling it.|greymair,risen
108|Risen/Soldier combat leader|Wound an intended victim before nearby Soldiers or Risen attack, then use summons for extra engagements and support triggers.|Serif supplies ranged pressure and Greymair returns damaged allies; a mobile collector covers the scoring race.|The aura's attack bonus depends on a wounded target. Do not treat it as a permanent blanket stat increase.|risen
109|Giant/Risen attrition attacker|Use reach and Frostbite pressure when a friendly death makes the strike more effective; Chill helps prepare a valuable target.|In Shades, resurrection support extends her presence; in Commonwealth, Norse or Giant support funds useful attacks.|Her anti-healing signature needs a meaningful victim. Low energy makes unsupported pursuits poor value.|
110|Spirit resource donor and conditional King summoner|Support Nobles with Eternal Servitude and exploit death-driven arcane reliability for Reanimate; summon the King only when that trade suits the game.|Compatible Nobles use the donation well; in Shades, Echo can turn those resources into major pressure.|The King summon is Shades-only, slays Igor on success and cannot duplicate an Echo already in play.|
111|Rogue collector and resurrection placement support|Use the first-harvest depth benefit to collect efficiently, and position Guiding Lantern so returning allies enter somewhere useful.|Compatible reanimators exploit his placement and healing support; a defender protects the collecting route.|Resurrection support does little without a legal reanimator. Positioning around returning models should not cost a safe stone.|
112|Noble/Risen energy thief and melee deterrent|Take energy from the target whose next action matters, then donate it where your troupe can immediately exploit it.|Noble support improves resource exchanges; in Shades, Echo turns donated energy into powerful attacks.|An initiative trick is not a substitute for board position. Avoid draining a model that has already finished all meaningful work.|
113|Spirit defensive leader and mobility engine|Keep Spirits in Resonance's support area and use Blink to reposition; choose Incorporeal Form when safe passage outweighs harvesting.|Spirit allies exploit resistance and mobility; an efficient collector lets Marley spend activations on support.|Incorporeal Form is optional and prevents harvesting only while active. It does not stop magical damage or all direct wounds.|spirits
114|Spirit water controller and aquatic summoner|Place water to support movement, use its teleport routes, and pull enemies where the water-linked damage becomes a real threat.|Jeremy provides extra board presence; in Shades, other water users exploit her terrain investment.|Water placement must retain useful access and sight lines. A lure is dangerous when it delivers an attacker into your support models.|spirits
115|Faun/Spirit energy-sensitive control and recovery|Use Shadowstride for useful positioning, then choose Reclaim Life or Hunting Ritual according to the wound exchange needed now.|Compatible Spirit or Faun support helps either faction; a healer balances self-inflicted resource costs.|Her unusual resistance depends on the actual colour condition. Do not assume every enemy arcane attempt fails to affect her.|spirits
116|Spirit melee summoner and resurrection threat|Use reach and enhanced damage to wound an enemy, then choose the Psychopomp that best supports the next action.|Spirit mobility and resource support compensate for low base energy; healing sustains his big wound pool.|Fashion from Flesh needs actual enemy wounds in melee. A kill offers an alternative benefit rather than every possible payoff at once.|
117|Spirit movement disruption and snack support|Apply Stage Fright to move an enemy at the Discard Step, threatening its carrier position while retaining resources for your own safety.|Teacake provides recovery, while compatible melee allies exploit a displaced victim.|Moving an enemy can open a better route for it. Choose the resulting position before spending the control action.|spirits
118|Spirit/Psychopomp support conductor|Use Conductor for efficient Psychopomp harvesting or specialist actions, boosted by the friendly Psychopomp count; Parade then repositions the group.|Several summoners create options; energy support helps cover both Roary's actions and his own Thralls.|Encore only returns a Psychopomp slain earlier this turn, once per turn. It cannot summon an arbitrary fresh character.|pomps
119|Spirit healer, resource support and Babeling summoner|Choose the Nursery result for the debuff needed, then use Milkies or Lullaby to restore an ally's useful resources.|Babelings specifically improve her defence; Echo and other resource-hungry allies value her support.|Colour determines the Babeling and duplicates in play are forbidden. Lullaby trades away energy, so time it carefully.|pomps
120|Summoned direct-wound support and evasive blocker|Use He Hit Me! for a reliable wound on a nearly finished target, or add an engagement before a stronger ally attacks.|Nanny supplies an escape destination as well as a natural summon route; another legal summoner can also create him.|He Hit Me! costs the summoner energy and is not automatic retaliation. His escape needs a friendly Nanny and its printed timing.|pomps
121|Summoned shove support and evasive blocker|Use He Pushed Me! to shift another model off a useful position, then exploit the opening with a collector or stronger attacker.|Nanny provides the natural entry route and retreat destination; Roary can enable a useful Psychopomp action.|His shove is a paid once-per-turn action, not a reactive attack trigger. Plan shared energy and the direction before using it.|pomps
122|Summoned stat debuff and evasive blocker|Use He Called me Names! before the target's valuable melee or Arcane action, choosing the penalty that changes the turn.|Nanny supplies a natural summon route and defensive escape destination; stronger allies exploit the weakened enemy.|The debuff is a paid once-per-turn action rather than automatic retaliation. Ordinary actions still use the summoner's energy.|pomps
123|Water-enabled Troll/Pirate reanimator|Begin near water for the energy needed to Reanimate; use water entry and energy donation to support a renewed attack.|In Shades, water creators make the plan reliable; in Dominion, Troll allies exploit Dead Troll's Finger.|The donation lowers arcane, so melee recipients often suit it best. Check water access before relying on a resurrection sequence.|barnakelle
124|Pirate shooting leader and faction-specific movement support|Mark an important enemy with the Black Spot and concentrate Pirate shots; use his faction benefit for terrain or carrier movement.|Pirate pistols exploit the arcane bonus, while Cheepaky improves the reload economy.|Shades receives deployed water; Dominion receives the limited Slow-ignore benefit. Treasure Map happens outside the turn and cannot use it.|commodore
125|Durable Pirate reload support and minor healer|Keep shooters unengaged so Stocked to the Gills can reload them, then use Gone Fishin' to repair important wounds.|Commodore boosts concentrated pistol pressure; in Shades, water creators improve the fishing support.|Free reload still obeys the action's restrictions. Do not move the support crab into a useless duel just because he is tough.|chezapeaky
126|Faerie/Pirate flexible caster and fallback spell user|Use Poor Unfortunate Souls for the resource exchange your next Pirate needs; borrow a slain friend's Arcane action when it solves the current problem.|Compatible Pirates exploit her support, and allies with valuable Arcane actions expand her fallback options.|Energy and healing have opposing costs. Copied actions retain requirements, and Feeble makes independent harvesting inefficient.|brigid
127|Faerie/Spirit bleeding skirmisher|Apply Bleed to a target worth weakening at discard, then use disruption to defend scoring routes and avoid prolonged exposure.|In Dominion, Faeries cast more reliably at bleeding enemies; in Shades, Spirit mobility and curses fit her attrition plan.|Leech arrives at its printed timing and requires nearby wounds. Do not rely on later healing to survive an immediate killing blow.|banshee
128|Faerie melee safety and reaction coordinator|Hold resources to move friendly Faeries after enemy actions; save Perfect Form for the exchange where changing a revealed card matters most.|Melee Faeries turn her safety tools into pressure, while healing and a collector cover the support budget.|Perfect Form is once per game and needs energy plus a card in hand. Spending everything on her own attacks can strand allies.|iris
129|Faerie/Rogue monster hunter and energy disruptor|Use Sleepy Time on an already Weakling or Feeble target to drain its energy and raise Evade, then exploit her high-Evade melee bonuses.|Butterfingers helps prepare Weakling targets; Faerie healing and Rogue support sustain the follow-up.|Her monster-fighting bonuses depend on the enemy's positive Evade. Sedatives and Sleepy Time retain their printed conditions.|dentia
130|Gnome/Rogue arcane economy and exhausted-target pressure|Support Rogues with information and a cheaper Arcane action, then punish enemies left without energy.|The complete Faculty unlocks shared keywords; Muridae can improve Rogue arcane in a compatible core.|Wily Old Weasel has a limited use. Allocate the discount before planning several supposedly cheap casts.|faculty
131|Gnome/Animal healer and protective support|Heal wounded Animals efficiently and position protection around the model most likely to lose important energy dots.|Animal allies exploit his support; the complete Faculty opens additional cross-support opportunities.|He does not automatically count as an Animal alone. Early protection may spend the energy needed for later healing.|faculty
132|Gnome/Machine action support and rifle pressure|Support qualifying Machines with Overclock, choosing the extra action that most improves scoring, healing or damage now.|The complete Faculty expands Machine options; reload-equipped allies also benefit from his keyword support.|Overclock inflicts a wound and has action limits. Do not donate an action that costs the recipient its next-turn energy dot.|faculty
133|Human/Animal mobile ranged attacker|Use Astrazan Tactics to deliver a stronger attack and reposition, keeping the opponent chasing rather than pinning her down.|Quack improves Human arcane and Animal healing sustains her; Faculty support can broaden action options.|Boingy prevents later harvesting that turn. Decide whether this is a shooting turn or an objective turn before bouncing.|matilda
134|Goblin/Animal melee nuisance and woodland runner|Use the branch flip and wood-friendly Jog to reach contested space; Jitterbug forces enemy approaches to spend extra movement resources.|Wenda and Syril support the flip plan; healing makes his large wound pool last through the contest.|Jitterbug restricts a Jog destination, not every movement method. Enemies can still step or use other placements to engage.|swamp
135|Goblin flip engine and movement support|Build around qualifying flips that Clutter Chaos turns into energy, then reposition Goblins, Trolls or Animals and repair the wound cost.|Syril can turn a qualifying flip into a catastrophe; tough allies absorb the wounds more comfortably.|Not every catastrophe or wound source qualifies. Check the flip timing and condition before counting the extra energy.|swamp
136|Goblin mobile collector and Troll/Animal support|Use the activation flip to reposition before other movement, then Gribblebog Grub to help a useful Animal or Troll.|Wenda makes qualifying bad flips productive; a harvesting helper offsets the stilt-bound collection tax.|Harvesting costs extra, and Gribblebog Grub can also benefit enemy Animals and Trolls. Check the whole pulse before using it.|swamp
137|Goblin/Animal swamp healer and flip coordinator|Use Healing to sustain the risky flip engine and Sink into the Bog to deny a valuable enemy move; keep the water interaction useful.|Wenda converts qualifying catastrophe costs into resources; Trolls and Animals exploit the swamp setting.|Goblin Mayhem has a once-per-turn limit. Turning a good flip into a catastrophe needs a real payoff, not merely a thematic combo.|swamp
138|Rogue movement/healing leader and Pickles summoner|Use Pickles to pressure a carrier, then Purrloin the stone to keep the cat mobile; fund Fiddler for a coordinated scoring move.|In Leshavult, Skuggi discounts the opening Fiddler; compatible Rogues exploit healing from successful theft.|Pickles spends Streatham's energy. Budget the cat's movement, theft attempt and transfer alongside Streatham's own support actions.|rogues
139|Summoned Rogue thief and Giant energy support|Steal a stone in a favourable melee exchange, then let Streatham transfer it; finish a turn near a friendly Giant to supply its next Replenish-Step energy.|Streatham is the only summon route; compatible Giants convert the energy support into valuable attacks.|Pickles has no independent energy and only four wounds. His evasive movement still consumes Streatham's shared budget.|rogues
140|Goblin/Rogue card banker and flexible resource caster|Set aside useful cards and replenish the Rogue group's supply; choose Streetwise's effect after checking the available numbers and targets.|Dominion Rogues exploit card control; healing and a defender keep the banker operating safely.|A higher card increases one effect but reduces how many models receive it. Plan the real tradeoff rather than always choosing the largest number.|rogues
141|Faun/Rogue mobile thief and banked-card attacker|Use the opening high-cost discount to enable a friendly play, then banked cards extend Trick Knives while his signature threatens carrier theft.|In Leshavult, Streatham rewards theft and Kavanagh supplies cards; compatible Rogue banking supports repeated knife pressure.|Trick Knives' once-per-game limit is ignored only under its banked-card condition. Shadow Fade still needs a safe placement destination.|rogues
